addressee,date,month,day,year,file_name,year_num
W. E. HENLEY,WINTER 1884,WINTER,,1884.0,wikisource_vol1_ch7_letter17.txt,1884.0
E. L. BURLINGAME,SUMMER 1892,SUMMER,,1892.0,wikisource_vol2_ch11_letter30.txt,1892.0
SIDNEY COLVIN,AUGUST 1877,AUGUST,,1877.0,wikisource_vol1_ch3_letter14.txt,1877.0
CHARLES BAXTER,MAY 10 1889,MAY,10.0,1889.0,wikisource_vol2_ch10_letter23.txt,1889.0
EDMUND GOSSE,JULY 29 1879,JULY,29.0,1879.0,wikisource_vol1_ch3_letter31.txt,1879.0
CHARLES BAXTER,FEBRUARY 2 1873,FEBRUARY,2.0,1873.0,wikisource_vol1_ch1_letter16.txt,1873.0
E. L. BURLINGAME,AUTUMN 1891,AUTUMN,,1891.0,wikisource_vol2_ch11_letter18.txt,1891.0
MRS. SITWELL,JANUARY 13 1874,JANUARY,13.0,1874.0,wikisource_vol1_ch2_letter11.txt,1874.0
W. H. LOW,OCTOBER 1883,OCTOBER,,1883.0,wikisource_vol1_ch6_letter27.txt,1883.0
CHARLES BAXTER,SEPTEMBER 6 1888,SEPTEMBER,6.0,1888.0,wikisource_vol2_ch10_letter2.txt,1888.0
MRS. THOMAS STEVENSON,SEPTEMBER 1868,SEPTEMBER,,1868.0,wikisource_vol1_ch1_letter5.txt,1868.0
E. L. BURLINGAME,FEBRUARY 1890,FEBRUARY,,1890.0,wikisource_vol2_ch10_letter34.txt,1890.0
W. E. HENLEY,FEBRUARY 1880,FEBRUARY,,1880.0,wikisource_vol1_ch4_letter18.txt,1880.0
CHARLES BAXTER,DECEMBER 6 1893,DECEMBER,6.0,1893.0,wikisource_vol2_ch12_letter17.txt,1893.0
C. W. STODDARD,FEBRUARY 13 1886,FEBRUARY,13.0,1886.0,wikisource_vol2_ch8_letter9.txt,1886.0
WILLIAM ARCHER,WINTER 1887,WINTER,,1887.0,wikisource_vol2_ch9_letter31.txt,1887.0
MRS. THOMAS STEVENSON,SEPTEMBER 11 1868,SEPTEMBER,11.0,1868.0,wikisource_vol1_ch1_letter3.txt,1868.0
EDMUND GOSSE,APRIL 16 1880,APRIL,16.0,1880.0,wikisource_vol1_ch4_letter20.txt,1880.0
GEORGE MEREDITH,SEPTEMBER 5 1893,SEPTEMBER,5,1893,wikisource_vol2_ch12_letter11.txt
CHARLES BAXTER,APRIL 17 1894,APRIL,17,1894,wikisource_vol2_ch12_letter30.txt
