addressee,date,month,day,year,file_name
SPRING GROVE SCHOOL,NOVEMBER 12 1863,NOVEMBER,12,1863,wikisource_vol1_ch1_letter1.txt
CHARLES BAXTER,APRIL 9 1872,APRIL,9,1872,wikisource_vol1_ch1_letter10.txt
MRS. THOMAS STEVENSON,JULY 25 1872,JULY,25,1872,wikisource_vol1_ch1_letter11.txt
MRS. THOMAS STEVENSON,JULY 29 1872,JULY,29,1872,wikisource_vol1_ch1_letter12.txt
MRS. THOMAS STEVENSON,AUGUST 2 1872,AUGUST,2,1872,wikisource_vol1_ch1_letter13.txt
THOMAS STEVENSON,AUGUST 4 1872,AUGUST,4,1872,wikisource_vol1_ch1_letter14.txt
MRS. THOMAS STEVENSON,AUGUST 1872,AUGUST,,1872,wikisource_vol1_ch1_letter15.txt
CHARLES BAXTER,FEBRUARY 2 1873,FEBRUARY,2,1873,wikisource_vol1_ch1_letter16.txt
2 SULYARDE TERRACE,APRIL 1866,APRIL,,1866,wikisource_vol1_ch1_letter2.txt
MRS. THOMAS STEVENSON,SEPTEMBER 11 1868,SEPTEMBER,11,1868,wikisource_vol1_ch1_letter3.txt
MRS. THOMAS STEVENSON,SEPTEMBER 5 1868,SEPTEMBER,5,1868,wikisource_vol1_ch1_letter4.txt
MRS. THOMAS STEVENSON,SEPTEMBER 1868,SEPTEMBER,,1868,wikisource_vol1_ch1_letter5.txt
MRS. THOMAS STEVENSON,SEPTEMBER 1868,SEPTEMBER,,1868,wikisource_vol1_ch1_letter6.txt
MRS. CHURCHILL BABINGTON,SUMMER 1871,SUMMER,,1871,wikisource_vol1_ch1_letter7.txt
ALISON CUNNINGHAM,1871,,,1871,wikisource_vol1_ch1_letter8.txt
CHARLES BAXTER,MARCH 5 1872,MARCH,5,1872,wikisource_vol1_ch1_letter9.txt
MRS. THOMAS STEVENSON,JULY 28 1873,JULY,28,1873,wikisource_vol1_ch2_letter1.txt
MRS. THOMAS STEVENSON,JANUARY 7 1874,JANUARY,7,1874,wikisource_vol1_ch2_letter10.txt
MRS. SITWELL,JANUARY 13 1874,JANUARY,13,1874,wikisource_vol1_ch2_letter11.txt
MRS. SITWELL,JANUARY 1874,JANUARY,,1874,wikisource_vol1_ch2_letter12.txt
MRS. THOMAS STEVENSON,MARCH 28 1874,MARCH,28,1874,wikisource_vol1_ch2_letter13.txt
MRS. SITWELL,MAY 1874,MAY,,1874,wikisource_vol1_ch2_letter14.txt
MRS. SITWELL,MAY 1874,MAY,,1874,wikisource_vol1_ch2_letter15.txt
MRS. SITWELL,AUGUST 8 1874,AUGUST,8,1874,wikisource_vol1_ch2_letter16.txt
MRS. SITWELL,AUTUMN 1874,AUTUMN,,1874,wikisource_vol1_ch2_letter17.txt
MRS. SITWELL,DECEMBER 23 1874,DECEMBER,23,1874,wikisource_vol1_ch2_letter18.txt
SIDNEY COLVIN,JANUARY 1875,JANUARY,,1875,wikisource_vol1_ch2_letter19.txt
MRS. SITWELL,SEPTEMBER 6 1873,SEPTEMBER,6,1873,wikisource_vol1_ch2_letter2.txt
MRS. SITWELL,FEBRUARY 1875,FEBRUARY,,1875,wikisource_vol1_ch2_letter20.txt
SIDNEY COLVIN,FEBRUARY 8 1875,FEBRUARY,8,1875,wikisource_vol1_ch2_letter21.txt
MRS. SITWELL,APRIL 1875,APRIL,,1875,wikisource_vol1_ch2_letter22.txt
MRS. SITWELL,APRIL 1875,APRIL,,1875,wikisource_vol1_ch2_letter23.txt
MRS. SITWELL,APRIL 1875,APRIL,,1875,wikisource_vol1_ch2_letter24.txt
MRS. SITWELL,APRIL 1875,APRIL,,1875,wikisource_vol1_ch2_letter25.txt
MRS. SITWELL,JUNE 1875,JUNE,,1875,wikisource_vol1_ch2_letter26.txt
MRS. SITWELL,JUNE 1875,JUNE,,1875,wikisource_vol1_ch2_letter27.txt
MRS. SITWELL,SEPTEMBER 12 1873,SEPTEMBER,12,1873,wikisource_vol1_ch2_letter3.txt
MRS. SITWELL,SEPTEMBER 16 1873,SEPTEMBER,16,1873,wikisource_vol1_ch2_letter4.txt
MRS. SITWELL,OCTOBER 4 1873,OCTOBER,4,1873,wikisource_vol1_ch2_letter5.txt
MRS. SITWELL,OCTOBER 14 1873,OCTOBER,14,1873,wikisource_vol1_ch2_letter6.txt
MRS. THOMAS STEVENSON,NOVEMBER 13 1873,NOVEMBER,13,1873,wikisource_vol1_ch2_letter7.txt
MRS. SITWELL,NOVEMBER 1873,NOVEMBER,,1873,wikisource_vol1_ch2_letter8.txt
MRS. THOMAS STEVENSON,JANUARY 4 1874,JANUARY,4,1874,wikisource_vol1_ch2_letter9.txt
MRS. THOMAS STEVENSON,AUGUST 1875,AUGUST,,1875,wikisource_vol1_ch3_letter1.txt
SIDNEY COLVIN,JULY 1876,JULY,,1876,wikisource_vol1_ch3_letter10.txt
MRS. SITWELL,JULY 1876,JULY,,1876,wikisource_vol1_ch3_letter11.txt
W. E. HENLEY,SEPTEMBER 1876,SEPTEMBER,,1876,wikisource_vol1_ch3_letter12.txt
MRS. SITWELL,MAY 1877,MAY,,1877,wikisource_vol1_ch3_letter13.txt
SIDNEY COLVIN,AUGUST 1877,AUGUST,,1877,wikisource_vol1_ch3_letter14.txt
MRS. SITWELL,AUGUST 1877,AUGUST,,1877,wikisource_vol1_ch3_letter15.txt
A. PATCHETT MARTIN,1877,,,1877,wikisource_vol1_ch3_letter16.txt
A. PATCHETT MARTIN,DECEMBER 1877,DECEMBER,,1877,wikisource_vol1_ch3_letter17.txt
SIDNEY COLVIN,JANUARY 1 1878,JANUARY,1,1878,wikisource_vol1_ch3_letter18.txt
SIDNEY COLVIN,FEBRUARY 1878,FEBRUARY,,1878,wikisource_vol1_ch3_letter19.txt
MRS. SITWELL,AUGUST 1875,AUGUST,,1875,wikisource_vol1_ch3_letter2.txt
MR. AND MRS. THOMAS STEVENSON,FEBRUARY 21 1878,FEBRUARY,21,1878,wikisource_vol1_ch3_letter20.txt
MRS. THOMAS STEVENSON,JUNE 1878,JUNE,,1878,wikisource_vol1_ch3_letter21.txt
MRS. THOMAS STEVENSON,SEPTEMBER 1878,SEPTEMBER,,1878,wikisource_vol1_ch3_letter22.txt
W. E. HENLEY,SEPTEMBER 1878,SEPTEMBER,,1878,wikisource_vol1_ch3_letter23.txt
CHARLES BAXTER,SEPTEMBER 1878,SEPTEMBER,,1878,wikisource_vol1_ch3_letter24.txt
MRS. THOMAS STEVENSON,OCTOBER 1878,OCTOBER,,1878,wikisource_vol1_ch3_letter25.txt
W. E. HENLEY,AUTUMN 1878,AUTUMN,,1878,wikisource_vol1_ch3_letter26.txt
EDMUND GOSSE,APRIL 16 1879,APRIL,16,1879,wikisource_vol1_ch3_letter27.txt
W. E. HENLEY,APRIL 1879,APRIL,,1879,wikisource_vol1_ch3_letter28.txt
EDMUND GOSSE,JULY 24 1879,JULY,24,1879,wikisource_vol1_ch3_letter29.txt
SIDNEY COLVIN,AUTUMN 1875,AUTUMN,,1875,wikisource_vol1_ch3_letter3.txt
SIDNEY COLVIN,JULY 28 1879,JULY,28,1879,wikisource_vol1_ch3_letter30.txt
EDMUND GOSSE,JULY 29 1879,JULY,29,1879,wikisource_vol1_ch3_letter31.txt
CHARLES BAXTER,OCTOBER 1875,OCTOBER,,1875,wikisource_vol1_ch3_letter4.txt
SIDNEY COLVIN,AUTUMN 1875,AUTUMN,,1875,wikisource_vol1_ch3_letter5.txt
MRS. SITWELL,NOVEMBER 12 1875,NOVEMBER,12,1875,wikisource_vol1_ch3_letter6.txt
MRS. DE MATTOS,JANUARY 1876,JANUARY,,1876,wikisource_vol1_ch3_letter7.txt
MRS. SITWELL,JANUARY 1876,JANUARY,,1876,wikisource_vol1_ch3_letter8.txt
SIDNEY COLVIN,FEBRUARY 1876,FEBRUARY,,1876,wikisource_vol1_ch3_letter9.txt
SIDNEY COLVIN,AUGUST 1879,AUGUST,,1879,wikisource_vol1_ch4_letter1.txt
P. G. HAMERTON,NOVEMBER 1879,NOVEMBER,,1879,wikisource_vol1_ch4_letter10.txt
EDMUND GOSSE,NOVEMBER 15 1879,NOVEMBER,15,1879,wikisource_vol1_ch4_letter11.txt
SIDNEY COLVIN,DECEMBER 1879,DECEMBER,,1879,wikisource_vol1_ch4_letter12.txt
EDMUND GOSSE,DECEMBER 8 1879,DECEMBER,8,1879,wikisource_vol1_ch4_letter13.txt
SIDNEY COLVIN,DECEMBER 26 1879,DECEMBER,26,1879,wikisource_vol1_ch4_letter14.txt
SIDNEY COLVIN,JANUARY 10 1880,JANUARY,10,1880,wikisource_vol1_ch4_letter15.txt
CHARLES BAXTER,JANUARY 26 1880,JANUARY,26,1880,wikisource_vol1_ch4_letter16.txt
SIDNEY COLVIN,JANUARY 1880,JANUARY,,1880,wikisource_vol1_ch4_letter17.txt
W. E. HENLEY,FEBRUARY 1880,FEBRUARY,,1880,wikisource_vol1_ch4_letter18.txt
SIDNEY COLVIN,MARCH 1880,MARCH,,1880,wikisource_vol1_ch4_letter19.txt
SIDNEY COLVIN,AUGUST 1879,AUGUST,,1879,wikisource_vol1_ch4_letter2.txt
EDMUND GOSSE,APRIL 16 1880,APRIL,16,1880,wikisource_vol1_ch4_letter20.txt
DR. W. BAMFORD,APRIL 1880,APRIL,,1880,wikisource_vol1_ch4_letter21.txt
SIDNEY COLVIN,APRIL 1880,APRIL,,1880,wikisource_vol1_ch4_letter22.txt
SIDNEY COLVIN,APRIL 1880,APRIL,,1880,wikisource_vol1_ch4_letter23.txt
SIDNEY COLVIN,MAY 1880,MAY,,1880,wikisource_vol1_ch4_letter24.txt
C. W. STODDARD,MAY 1880,MAY,,1880,wikisource_vol1_ch4_letter25.txt
SIDNEY COLVIN,MAY 1880,MAY,,1880,wikisource_vol1_ch4_letter26.txt
W. E. HENLEY,AUGUST 23 1879,AUGUST,23,1879,wikisource_vol1_ch4_letter3.txt
SIDNEY COLVIN,SEPTEMBER 1879,SEPTEMBER,,1879,wikisource_vol1_ch4_letter4.txt
SIDNEY COLVIN,OCTOBER 21 1879,OCTOBER,21,1879,wikisource_vol1_ch4_letter5.txt
SIDNEY COLVIN,SEPTEMBER 1879,SEPTEMBER,,1879,wikisource_vol1_ch4_letter6.txt
EDMUND GOSSE,OCTOBER 8 1879,OCTOBER,8,1879,wikisource_vol1_ch4_letter7.txt
W. E. HENLEY,OCTOBER 1879,OCTOBER,,1879,wikisource_vol1_ch4_letter8.txt
W. E. HENLEY,OCTOBER 1879,OCTOBER,,1879,wikisource_vol1_ch4_letter9.txt
A. G. DEW,NOVEMBER 1880,NOVEMBER,,1880,wikisource_vol1_ch5_letter1.txt
HORATIO F. BROWN,1881,,,1881,wikisource_vol1_ch5_letter10.txt
HORATIO F. BROWN,1881,,,1881,wikisource_vol1_ch5_letter11.txt
HORATIO F. BROWN,SPRING 1881,SPRING,,1881,wikisource_vol1_ch5_letter12.txt
MR. AND MRS. THOMAS STEVENSON,MAY 1 1881,MAY,1,1881,wikisource_vol1_ch5_letter13.txt
EDMUND GOSSE,JUNE 6 1881,JUNE,6,1881,wikisource_vol1_ch5_letter14.txt
SIDNEY COLVIN,JUNE 1881,JUNE,,1881,wikisource_vol1_ch5_letter15.txt
